config_id,strategy,ema_window,signal_window,signal_level,atr_window,sl_atr,rr,direction,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,target_hit
C0034,donchian_breakout,50,48,0.0,14,1.75,2.5,long,1303,0.3215656178050652,2.322756258077979,-1.2348466065048915,-0.09084384345023086,0.8915637130087142,-118.36952801565081,139.44277362933536,False
C0085,donchian_breakout,100,48,0.0,14,1.75,2.0,long,1392,0.3728448275862069,1.8289603209284362,-1.2354503601032574,-0.09290068808066479,0.8801001549302112,-129.3177578082854,148.39838129756492,False
C0136,donchian_breakout,200,48,0.0,14,1.75,1.5,long,1387,0.4419610670511896,1.3406021901314302,-1.2336442713969433,-0.09592755840711414,0.8606557845305107,-133.05152351066732,138.3156024374911,False
C0218,rsi_pullback,100,7,20.0,14,1.75,1.5,short,71,0.4507042253521127,1.3068551687367285,-1.255967550998775,-0.10089252238559045,0.8537572643888925,-7.163369089376921,16.5670395410142,False
C0185,rsi_pullback,50,7,30.0,14,1.75,2.5,long,308,0.3116883116883117,2.3295990389081194,-1.2063128471561617,-0.10421044111015194,0.8744935236515721,-32.0968158619268,64.4868992603049,False
C0043,donchian_breakout,50,96,0.0,14,1.25,2.5,long,994,0.33601609657947684,2.312604880339641,-1.3335607570880434,-0.10839041211737278,0.8775889820565018,-107.74006964466855,128.26085133150988,False
C0097,donchian_breakout,100,96,0.0,14,1.25,2.5,long,994,0.33601609657947684,2.312604880339641,-1.3335607570880434,-0.10839041211737278,0.8775889820565018,-107.74006964466855,128.26085133150988,False
C0301,rsi_pullback,200,14,30.0,14,1.75,1.5,long,88,0.42045454545454547,1.3430633187823828,-1.1622944348787003,-0.1089053793621085,0.8383239575528624,-9.583673383865548,22.25482704301654,False
C0151,donchian_breakout,200,96,0.0,14,1.25,2.5,long,975,0.3353846153846154,2.315974678024555,-1.3326883252567845,-0.10898288723319688,0.8769563159322665,-106.25831505236695,121.98965868522833,False
C0169,rsi_pullback,50,7,20.0,14,1.75,1.5,long,14,0.42857142857142855,1.345360515515953,-1.21196121132848,-0.11596618553800875,0.8325517163465458,-1.6235265975321225,3.5901936622874766,False
C0028,donchian_breakout,50,48,0.0,14,1.75,1.5,long,1537,0.4339622641509434,1.3419420924403895,-1.2341479652130685,-0.11622209113703952,0.8336295969935381,-178.63335407762975,188.4261277389649,False
C0183,rsi_pullback,50,7,30.0,14,1.75,2.0,long,310,0.3580645161290323,1.835865320921002,-1.2099313591881742,-0.1193396446974694,0.8463499786453182,-36.995289856215514,55.788662615872234,False
C0082,donchian_breakout,100,48,0.0,14,1.75,1.5,long,1514,0.43262879788639363,1.342068460187452,-1.2339985848280306,-0.11951779586822803,0.8292932771501526,-180.94994294449722,190.74271660583236,False
C0184,rsi_pullback,50,7,30.0,14,1.75,2.0,short,258,0.35658914728682173,1.8063266835681464,-1.1893136908447435,-0.12110084415487576,0.8417432035809975,-31.244017791957948,42.477416663818815,False
C0148,donchian_breakout,200,96,0.0,14,1.25,2.0,long,1034,0.3829787234042553,1.8316655593092914,-1.338217208342786,-0.1242195526462458,0.8495600395146415,-128.44301743621816,146.3722497396867,False
C0254,rsi_pullback,100,14,30.0,14,1.75,1.5,short,21,0.42857142857142855,1.297434706519711,-1.1906584077206062,-0.12433278733189887,0.8172587734484131,-2.610988533969876,7.461508712867291,False
C0305,rsi_pullback,200,14,30.0,14,1.75,2.5,long,88,0.29545454545454547,2.3413689110558287,-1.1606163755044367,-0.12593890447526712,0.8459852909010732,-11.082623593823506,24.860574434237204,False
