config_id,family,direction,params_json,validation_mean_expectancy_r,validation_median_expectancy_r,validation_min_expectancy_r,validation_std_expectancy_r,validation_positive_fold_ratio,total_validation_trades,folds_selected,validation_mean_winrate,validation_mean_avg_win_r,validation_mean_avg_loss_r,validation_mean_profit_factor_r,validation_max_drawdown_r,cost_r_per_trade,robust_score
0e8713b75bea49,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 7, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.3364642745224687,-0.2795288109858929,-0.9163871008197549,0.3860785305630622,0.25,197,4,0.23703663793103447,2.314694690855773,-1.1594999708072617,0.6747672539534796,29.261118567203685,0.18327291674515328,-0.6388368731373331
746a32c45fd61c,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.31940100021181006,-0.1647153692586056,-1.0362041624618439,0.448372760585735,0.4,174,5,0.2522966878659098,2.2957743928107766,-1.2009815456735997,0.7208210347712417,27.30910464385041,0.20556473147081142,-0.6455873805046777
836ff872e09519,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.25}",-0.2851181240221409,-0.18306597763537275,-1.1740814209524433,0.5240650233193638,0.4,160,5,0.2889840241059753,2.240948140517846,-1.3100030700854317,0.8035284676125061,22.079964347993965,0.2973710923937272,-0.6538173023484894
a2032f069d6c96,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.75, ""sl_atr"": 1.75}",-0.3351767132603564,-0.20240771454611978,-1.0060947197415577,0.3956504122972791,0.2,138,5,0.23309890109890108,2.536898641934875,-1.2059307077752128,0.6914240846061828,19.514320305720833,0.20981844272169453,-0.667001919408996
3299c83a435c9c,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 20, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.3515738320268398,-0.2550866223811617,-0.9738031652039641,0.3905062194939815,0.25,156,4,0.2289960407239819,2.335994653651784,-1.1503157456619997,0.6578594735628902,19.26404141267327,0.15846957882397372,-0.6698269417738305
51ab427d075eee,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.3554860568572959,-0.2754992183719948,-0.9251380407024415,0.33506945777068653,0.0,132,5,0.22918126498248198,2.3307401139806876,-1.153974634497015,0.6411463875329202,18.812690163322166,0.1618721888109638,-0.6790207857426392
8be2d31b7ea385,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 77, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.37448475749023113,-0.3424367092726184,-0.9251380407024415,0.3485340783167004,0.2,141,5,0.2236080596725758,2.330503044449375,-1.1533063146914606,0.6260557074559092,22.358346839819554,0.1616394984639934,-0.6817517966485814
863aeec0f5af83,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25}",-0.4160746853640623,-0.29441881230046124,-0.9587813561998282,0.27359334992987927,0.0,104,5,0.2515151515151515,1.8517540562308035,-1.174082963684707,0.5574212781773625,17.860121537771935,0.17397125767165672,-0.7182046936623352
c863b439a98aa9,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25, ""weekday_filter"": ""weekdays""}",-0.3820186114575323,-0.5245854116163533,-0.9239451751842103,0.4251049752773294,0.2,102,5,0.25611764705882356,1.8670414072292403,-1.153495671780661,0.6465819302331828,18.418481157046397,0.14645800791623365,-0.7405710990961971
7db4b0aa60e888,atr_expansion_breakout,long,"{""atr_mean_window"": 230, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.5053251793702876,-0.3755227013429811,-1.2303820484131207,0.39985507053364905,0.0,123,5,0.1854401776384535,2.359781030563342,-1.1537182878599423,0.5132421825428963,23.24427621826517,0.1541716157390099,-0.8642527146371122
db48581cdd6ca6,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""weekday_filter"": ""weekdays""}",-0.5211034929217802,-0.40150107782653466,-1.2237352171758116,0.5009714525845873,0.2,100,5,0.17853617308992561,2.3586871449627296,-1.1449376670428908,0.5261339096367564,23.157556551324788,0.1468077470323836,-0.9182558858807406
671dce7450cb57,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.6186817934300729,-0.5016012398063028,-1.361200333110459,0.4196788632908042,0.0,107,5,0.17393280632411065,2.3226096654049835,-1.2332617627938955,0.4432270007870918,24.749621329245215,0.22364096497195476,-0.9928545584088083
