config_id,family,direction,params_json,train_trades,train_expectancy_r,validation_trades,validation_expectancy_r,validation_winrate,validation_avg_win_r,validation_avg_loss_r,validation_profit_factor_r,validation_max_drawdown_r,validation_cost_r_per_trade,fold_id,train_start,train_end,validation_start,validation_end
671dce7450cb57,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",164,0.38421715064466716,22,-0.34933814419231984,0.22727272727272727,2.336639759848692,-1.1393316453808526,0.6032018780282897,7.836162272524563,0.16911154237494588,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
adbb7fc904ce79,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""session"": ""new_york"", ""sl_atr"": 1.75}",123,0.35877081013273143,24,-0.4380360801889307,0.20833333333333334,2.3571119114034347,-1.1736013411342903,0.5285377466121047,15.296674618746543,0.1449917116968801,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
b4568def8970eb,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""session"": ""high_liquidity"", ""sl_atr"": 1.75}",150,0.3552823216433464,26,-0.3610197373545168,0.23076923076923078,2.3411298181705082,-1.1716646040120247,0.5994368550916338,12.896004109173472,0.15055957015003746,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
2aa159ae472cd3,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 115, ""rr"": 2.5, ""sl_atr"": 2.25}",192,0.3250265972265554,31,-0.11346633913085145,0.2903225806451613,2.35330859148254,-1.122601538018148,0.8575769036987333,10.82694287885757,0.12925592436031558,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
db11c1e81f40a9,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 115, ""rr"": 2.5, ""sl_atr"": 1.75}",215,0.3195671520440074,33,-0.0072387711678020775,0.3333333333333333,2.3157577262779885,-1.1687370198906972,0.9907094953210958,8.424204360113778,0.1661793712738393,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
12d8ee1fc12170,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",153,0.3058511922483829,22,-0.476109746840823,0.18181818181818182,2.328075829757509,-1.0992620971960079,0.47063406053043383,10.474414430498106,0.13153119962495793,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
a2032f069d6c96,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.75, ""sl_atr"": 1.75}",216,0.30514570945854985,35,-0.20240771454611978,0.2571428571428571,2.569008717364244,-1.1617441717458612,0.7654630597216596,15.426497118297656,0.16002095036208375,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
415dd941af93e8,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 20, ""rr"": 2.5, ""sl_atr"": 1.25}",330,0.30264912085061363,60,-0.15634932359712314,0.3,2.36606034087862,-1.2373820369438702,0.8194929537534166,25.30295723554788,0.22652823211553058,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
51ab427d075eee,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",196,0.29816739768565886,33,-0.2754992183719948,0.24242424242424243,2.3586589050816573,-1.1184298178771634,0.6748486472389691,15.218353765252415,0.12417542414471949,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
8be2d31b7ea385,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 77, ""rr"": 2.5, ""sl_atr"": 2.25}",201,0.29759601182660333,36,-0.3424367092726184,0.2222222222222222,2.3586589050816573,-1.11417831337384,0.6048426326558113,18.45460109279085,0.12155257855447488,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
