config_id,family,direction,params_json,macro_expectancy_r,micro_expectancy_r,median_expectancy_r,worst_fold_expectancy_r,validation_std_expectancy_r,positive_fold_ratio,total_validation_trades,folds_tested,total_folds,all_folds_tested,validation_mean_winrate,validation_mean_avg_win_r,validation_mean_avg_loss_r,validation_mean_profit_factor_r,validation_max_drawdown_r,cost_r_per_trade,robust_score
671e4e7e00baf9,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 160, ""rr"": 2.5, ""sl_atr"": 1.75, ""std_mult"": 2.5, ""window"": 60}",0.08118390592073911,-0.10328279421825252,-0.21678901766790057,-0.4011654884433336,0.5075115128385923,0.4,56,5,5,True,0.380042735042735,2.255853071692164,-1.2613890297524466,1.2916547602669102,8.75751040782566,0.2902242290024669,-0.31390518383189037
681d59018452e4,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75, ""volume_mult"": 1.5, ""volume_window"": 20}",-0.31018058232818907,-0.27787424352421153,-0.22505327102667222,-0.5391057966704731,0.15326676814764426,0.0,539,5,5,True,0.27307586660735483,2.23706311492763,-1.2660148587494222,0.672349175496545,53.26727295038383,0.2927245839588537,-0.48681396640201124
6bd54371e1f1e0,rsi_momentum,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 14, ""sl_atr"": 2.25, ""threshold"": 50.0}",-0.14083869245452474,-0.14444148907282706,-0.10304296704034863,-0.31774553695659186,0.11511723597244894,0.2,781,5,5,True,0.29845025458816626,2.3128859290100214,-1.1839619443051437,0.8376112651607682,66.58007214999148,0.21548165160330363,-0.2783973104407492
6bf9344e8ea9e7,macd_momentum,both,"{""atr_window"": 14, ""fast"": 12, ""regime_ema"": 0, ""rr"": 2.0, ""signal"": 5, ""sl_atr"": 2.25, ""slow"": 21}",-0.163383780543577,-0.15886230273165047,-0.16786090347867125,-0.20670044454748648,0.03938023163178401,0.0,1745,5,5,True,0.33347295937425026,1.8358019667123302,-1.1636876248895516,0.7903739385852468,86.40258689388754,0.18963200649561252,-0.283073896359469
6c36c6c50c407f,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 240, ""rr"": 2.5, ""sl_atr"": 1.75, ""std_mult"": 2.5, ""window"": 60}",-0.2674398000011876,-0.2789262282468077,-0.3801819707736486,-0.5592034202992039,0.29103675557120723,0.2,88,5,5,True,0.28114102564102567,2.247147927018245,-1.248707417175384,0.7386798823166392,12.489613782849585,0.2923842890313891,-0.563624844453458
6d5eb92b8084d3,ema_cross,both,"{""atr_window"": 14, ""fast_ema"": 13, ""rr"": 2.0, ""sl_atr"": 2.25, ""slow_ema"": 144}",-0.15610236888010692,-0.1448514397000583,-0.21302373702389393,-0.2694376012737114,0.12699070681664582,0.2,682,5,5,True,0.3456612930555717,1.8007174859135815,-1.1900395500018337,0.8094435397943125,40.13175060887689,0.22128945632690583,-0.29959772228842985
6f61b331a55a05,rsi_extreme,short,"{""atr_window"": 14, ""level"": 25.0, ""regime_ema"": 100, ""rr"": 2.75, ""rsi_window"": 7, ""sl_atr"": 1.75}",-0.1265946385883791,-0.14308166358869812,-0.08373783370879624,-0.5772513579421625,0.2795848067073059,0.4,153,5,5,True,0.29794346978557507,2.512502918084272,-1.2443888926956563,0.891424553801851,22.423522946473845,0.28442700787711694,-0.37538704194203204
6f8e03fe3e2d86,ema_cross,long,"{""atr_window"": 14, ""fast_ema"": 34, ""rr"": 2.5, ""sl_atr"": 2.25, ""slow_ema"": 55}",-0.10329920559382515,-0.12963973092551484,-0.08898047306631886,-0.37150767363700005,0.1748205781212226,0.4,499,5,5,True,0.3173436276642018,2.276059582326534,-1.209360620468773,0.8901968030828502,45.12931967255055,0.2499056524594095,-0.2507094946544364
6fa1525c36230d,squeeze_breakout,long,"{""atr_window"": 14, ""bandwidth_lookback"": 96, ""bb_window"": 40, ""breakout_lookback"": 48, ""quantile"": 0.2, ""rr"": 1.5, ""session"": ""london"", ""sl_atr"": 2.0, ""squeeze_memory"": 12, ""std_mult"": 1.5}",-0.22276036630536447,-0.19689431664716456,-0.2318184111930323,-0.4105093352297665,0.1516562370780657,0.0,318,5,5,True,0.41823505861880117,1.2264612712731786,-1.2676125783135626,0.7153860330384093,26.57338838548266,0.3081130134472143,-0.39858848484439735
700ad0a15e9b1f,ema_cross,long,"{""atr_window"": 14, ""fast_ema"": 34, ""rr"": 2.0, ""session"": ""asia"", ""sl_atr"": 2.25, ""slow_ema"": 55}",-0.059060212343790365,-0.036756467471364906,0.07241649879885069,-0.5024342245210623,0.28131295338450585,0.6,186,5,5,True,0.3891102756892231,1.76625108777354,-1.2238260204974734,0.9727573088388333,26.379412852163654,0.2640170489597196,-0.2777166890360433
70829844c7d74d,bollinger_reentry,long,"{""atr_window"": 11, ""regime_ema"": 200, ""rr"": 1.5, ""sl_atr"": 2.25, ""std_mult"": 2.5, ""window"": 60}",-0.038004705590062936,0.03263733910076868,-0.023161629162450674,-0.4089072731538466,0.20852845592377214,0.4,70,5,5,True,0.4641666666666667,1.311195871494926,-1.2037358230485453,0.9889740967253168,6.629002813809354,0.2329163281480219,-0.2789356002186157
70c34058cfa971,rsi_extreme,short,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 120, ""rr"": 2.5, ""rsi_window"": 7, ""sl_atr"": 2.25}",-0.06283562090711027,-0.06264975285523103,-0.08134822894962612,-0.29487852334982534,0.136407870317474,0.4,360,5,5,True,0.3231191147261593,2.2982284836749014,-1.190654981536998,0.9320140014872542,23.599561890074835,0.22269764839154646,-0.19103955606584727
70d3fa21455da8,zscore_reversion,short,"{""atr_window"": 11, ""rr"": 2.5, ""sl_atr"": 2.25, ""window"": 80, ""zscore_threshold"": 2.0}",-0.16546260080014052,-0.15533956261132778,-0.14914457571100556,-0.24204296542537596,0.053987411726134776,0.0,701,5,5,True,0.28824922216948795,2.337969406720548,-1.1792494910594198,0.8040811289563964,39.50679570755088,0.20196158921151391,-0.2924563066632079
7262c54a33d4e5,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""volume_mult"": 1.25, ""volume_window"": 48, ""weekday_filter"": ""weekdays""}",-0.19765446211752388,-0.17947617869734622,-0.217324446072821,-0.3499604639027297,0.12497087235550199,0.0,372,5,5,True,0.2784796505534778,2.3184520353198126,-1.1684844590238825,0.7730254748312644,32.3854828636782,0.1874614369546964,-0.36013989829527493
7387ffb4df19cf,squeeze_breakout,long,"{""atr_window"": 14, ""bandwidth_lookback"": 96, ""bb_window"": 20, ""breakout_lookback"": 48, ""quantile"": 0.2, ""rr"": 1.5, ""sl_atr"": 2.0, ""squeeze_memory"": 12, ""std_mult"": 2.0}",-0.2600478081599432,-0.2592715137894356,-0.24542397861524562,-0.3904402920133975,0.07534148837554668,0.0,557,5,5,True,0.3990391098205059,1.2507593776645167,-1.2631556514964832,0.6619553530955906,52.24255264072872,0.2998721401197637,-0.3977185523477166
